1 вПнВ		в Поле не Воин
1 ГуЦ		Глаз у Циклопа
3 ДпОППВ	Девицы под Окном Пряли Поздно Вечерком
4 О		Океана
4 ТиС		Танкиста и Собака
4 ЧЧЧЧЧЧЧ	Черненьких Чумазеньких Чертенка Чертили Черными Чернилами Чертеж
5 ОЧуЧ		Органов Чувств у Человека
5 ПнР		Пальцев на Руке
7 ДвН		Дней в Неделе
7 ЧС		Чудес Света
7 ЦР		Цветов Радуги
8 НуО		Ног у Осминога
9 ЖуК		Жизней у Кошки
9 ПСС		Планет Солнечной Системы
10 Н		Негритят
11 ИвФК		Игроков в Футбольной Команде
12 ЗЗ		Знаков Зодиака
12 ПГ		Подвигов Геракла
12 С		Стульев
13 ЧД		Чертова Дюжина
17 МВ		Мгновений Весны
20 ПнРиН	Пальцев на Руках и Ногах
24 ЧвС		Часа в Сутках
26 БвАА		Букв в Английском Алфавите
29 ДвФвВГ	Дней в Феврале в Високосном Году
33 БвРА		Буквы в Русском Алфавите
33 К		Коровы
45 БЯО		Баба Ягодка Опять
52 КвК		Карты в Колоде
60 СвМ		Секунд в Минуте
64 КнШД		Клетки на Шахматной Доске
90 ГвПУ		Градусов в Прямом Угле
100 КвР		Копеек в Рубле
101 Д		Далматинец
180 СУвТ	Сумма Углов в Треугольнике
206 КвЧТ	Костей в Человеческом Теле
1917 ВОР	Великая Октябрьская Революция
1980 ОвМ	Олимпиада в Москве
20000 ЛпВ	Лье под Водой
